id,name_ke,name_hachigu,6th/nega_posi,6th/gorui,6th/junishi,6th/seko_oko,6th/fukushin/gorui_fukushin,6th/fukushin/junishi_fukushin,5th/nega_posi,5th/gorui,5th/junishi,5th/seko_oko,5th/fukushin/gorui_fukushin,5th/fukushin/junishi_fukushin,4th/nega_posi,4th/gorui,4th/junishi,4th/seko_oko,4th/fukushin/gorui_fukushin,4th/fukushin/junishi_fukushin,3rd/nega_posi,3rd/gorui,3rd/junishi,3rd/seko_oko,3rd/fukushin/gorui_fukushin,3rd/fukushin/junishi_fukushin,2nd/nega_posi,2nd/gorui,2nd/junishi,2nd/seko_oko,2nd/fukushin/gorui_fukushin,2nd/fukushin/junishi_fukushin,1st/nega_posi,1st/gorui,1st/junishi,1st/seko_oko,1st/fukushin/gorui_fukushin,1st/fukushin/junishi_fukushin,gochu
1,乾為天,乾宮本宮卦,1,父母,戌土,世,null,null,1,兄弟,申金,null,null,null,1,官⿁,午火,null,null,null,1,父母,辰土,応,null,null,1,妻財,寅木,null,null,null,1,子孫,子水,null,null,null,六冲卦
2,天風姤,乾宮一世卦,1,父母,戌土,null,null,null,1,兄弟,申金,null,null,null,1,官⿁,午火,応,null,null,1,兄弟,酉金,null,null,null,1,子孫,亥水,null,妻財,寅木,0,父母,丑土,世,null,null,null
3,天山遯,乾宮二世卦,1,父母,戌土,null,null,null,1,兄弟,申金,応,null,null,1,官⿁,午火,null,null,null,1,兄弟,申金,null,null,null,0,官⿁,午火,世,妻財,寅木,0,父母,辰土,null,子孫,子水,null
4,天地否,乾宮三世卦,1,父母,戌土,応,null,null,1,兄弟,申金,null,null,null,1,官⿁,午火,null,null,null,0,妻財,卯木,世,null,null,0,官⿁,巳火,null,null,null,0,父母,未土,null,子孫,子水,六合卦
5,風地観,乾宮四世卦,1,妻財,卯木,null,null,null,1,官⿁,巳火,null,兄弟,申金,0,父母,未土,世,null,null,0,妻財,卯木,null,null,null,0,官⿁,巳火,null,null,null,0,父母,未土,応,子孫,子水,null
6,山地剥,乾宮五世卦,1,妻財,寅木,null,null,null,0,子孫,子水,世,兄弟,申金,0,父母,戌土,null,null,null,0,妻財,卯木,null,null,null,0,官⿁,巳火,応,null,null,0,父母,未土,null,null,null,null
7,火地晋,乾宮遊魂卦,1,官⿁,巳火,null,null,null,0,父母,未土,null,null,null,1,兄弟,酉金,世,null,null,0,妻財,卯木,null,null,null,0,官⿁,巳火,null,null,null,0,父母,未土,応,子孫,子水,null
8,火天大有,乾宮帰魂卦,1,官⿁,巳火,応,null,null,0,父母,未土,null,null,null,1,兄弟,酉金,null,null,null,1,父母,辰土,世,null,null,1,妻財,寅木,null,null,null,1,子孫,子水,null,null,null,null
9,兌為澤,兌本宮首卦,0,父母,未土,世,null,null,1,兄弟,酉金,null,null,null,1,子孫,亥水,null,null,null,0,父母,丑土,応,null,null,1,妻財,卯木,null,null,null,1,官⿁,巳火,null,null,null,六冲卦
10,澤水困,兌宮一世卦,0,父母,未土,null,null,null,1,兄弟,酉金,null,null,null,1,子孫,亥水,応,null,null,0,官⿁,午火,null,null,null,1,父母,辰土,null,null,null,0,妻財,寅木,世,null,null,六合卦
11,澤地萃,兌宮二世卦,0,父母,未土,null,null,null,1,兄弟,酉金,応,null,null,1,子孫,亥水,null,null,null,0,妻財,卯木,null,null,null,0,官⿁,巳火,世,null,null,0,父母,未土,null,null,null,null
12,澤山咸,兌宮三世卦,0,父母,未土,応,null,null,1,兄弟,酉金,null,null,null,1,子孫,亥水,null,null,null,1,兄弟,申金,世,null,null,0,官⿁,午火,null,妻財,卯木,0,父母,辰土,null,null,null,null
13,水山蹇,兌宮四世卦,0,子孫,子水,null,null,null,1,父母,戌土,null,null,null,0,兄弟,申金,世,null,null,1,兄弟,申金,null,null,null,0,官⿁,午火,null,妻財,卯木,0,父母,辰土,応,null,null,null
14,地山謙,兌宮五世卦,0,兄弟,酉金,null,null,null,0,子孫,亥水,世,null,null,0,父母,丑土,null,null,null,1,兄弟,申金,null,null,null,0,官⿁,午火,応,妻財,卯木,0,父母,辰土,null,null,null,null
15,雷山小過,兌宮遊魂卦,0,父母,戌土,null,null,null,0,兄弟,申金,null,null,null,1,官⿁,午火,世,子孫,亥水,1,兄弟,申金,null,null,null,0,官⿁,午火,null,妻財,卯木,0,父母,辰土,応,null,null,null
16,雷澤帰妹,兌宮帰魂卦,0,父母,戌土,応,null,null,0,兄弟,申金,null,null,null,1,官⿁,午火,null,子孫,亥水,0,父母,丑土,世,null,null,1,妻財,卯木,null,null,null,1,官⿁,巳火,null,null,null,null
17,離為火,離本宮首卦,1,兄弟,巳火,世,null,null,0,子孫,未土,null,null,null,1,妻財,酉金,null,null,null,1,官⿁,亥水,応,null,null,0,子孫,丑土,null,null,null,1,父母,卯木,null,null,null,六冲卦
18,火山旅,離宮一世卦,1,兄弟,巳火,null,null,null,0,子孫,未土,null,null,null,1,妻財,酉金,応,null,null,1,妻財,申金,null,官⿁,亥水,0,兄弟,午火,null,null,null,0,子孫,辰土,世,父母,卯木,六合卦
19,火風鼎,離宮二世卦,1,兄弟,巳火,null,null,null,0,子孫,未土,応,null,null,1,妻財,酉金,null,null,null,1,妻財,酉金,null,null,null,1,官⿁,亥水,世,null,null,0,子孫,丑土,null,父母,卯木,null
20,火水未済,離宮三世卦,1,兄弟,巳火,応,null,null,0,子孫,未土,null,null,null,1,妻財,酉金,null,null,null,0,兄弟,午火,世,官⿁,亥水,1,子孫,辰土,null,null,null,0,父母,寅木,null,null,null,null
21,山水蒙,離宮四世卦,1,父母,寅木,null,null,null,0,官⿁,子水,null,null,null,0,子孫,戌土,世,妻財,酉金,0,兄弟,午火,null,null,null,1,子孫,辰土,null,null,null,0,父母,寅木,応,null,null,null
22,風水渙,離宮五世卦,1,父母,卯木,null,null,null,1,兄弟,巳火,世,null,null,0,子孫,未土,null,妻財,酉金,0,兄弟,午火,null,官⿁,亥水,1,子孫,辰土,応,null,null,0,父母,寅木,null,null,null,null
23,天水訟,離宮遊魂卦,1,子孫,戌土,null,null,null,1,妻財,申金,null,null,null,1,兄弟,午火,世,null,null,0,兄弟,午火,null,官⿁,亥水,1,子孫,辰土,null,null,null,0,父母,寅木,応,null,null,null
24,天火同人,離宮帰魂卦,1,子孫,戌土,応,null,null,1,妻財,申金,null,null,null,1,兄弟,午火,null,null,null,1,官⿁,亥水,世,null,null,0,子孫,丑土,null,null,null,1,父母,卯木,null,null,null,null
25,震為雷,震本宮首卦,0,妻財,戌土,世,null,null,0,官⿁,申金,null,null,null,1,子孫,午火,null,null,null,0,妻財,辰土,応,null,null,0,兄弟,寅木,null,null,null,1,父母,子水,null,null,null,六冲卦
26,雷地豫,震宮一世卦,0,妻財,戌土,null,null,null,0,官⿁,申金,null,null,null,1,子孫,午火,応,null,null,0,兄弟,卯木,null,null,null,0,子孫,巳火,null,null,null,0,妻財,未土,世,父母,子水,六合卦
27,雷水解,震宮二世卦,0,妻財,戌土,null,null,null,0,官⿁,申金,応,null,null,1,子孫,午火,null,null,null,0,子孫,午火,null,null,null,1,妻財,辰土,世,null,null,0,兄弟,寅木,null,父母,子水,null
28,雷風恒,震宮三世卦,0,妻財,戌土,応,null,null,0,官⿁,申金,null,null,null,1,子孫,午火,null,null,null,1,官⿁,酉金,世,null,null,1,父母,亥水,null,兄弟,寅木,0,妻財,丑土,null,null,null,null
29,地風升,震宮四世卦,0,官⿁,酉金,null,null,null,0,父母,亥水,null,null,null,0,妻財,丑土,世,子孫,午火,1,官⿁,酉金,null,null,null,1,父母,亥水,null,兄弟,寅木,0,妻財,丑土,応,null,null,null
30,水風井,震宮五世卦,0,父母,子水,null,null,null,1,妻財,戌土,世,null,null,0,官⿁,申金,null,子孫,午火,1,官⿁,酉金,null,null,null,1,父母,亥水,応,兄弟,寅木,0,妻財,丑土,null,null,null,null
31,澤風大過,震宮遊魂卦,0,妻財,未土,null,null,null,1,官⿁,酉金,null,null,null,1,父母,亥水,世,子孫,午火,1,官⿁,酉金,null,null,null,1,父母,亥水,null,兄弟,寅木,0,妻財,丑土,応,null,null,null
32,澤雷随,震宮帰魂卦,0,妻財,未土,応,null,null,1,官⿁,酉金,null,null,null,1,父母,亥水,null,子孫,午火,0,妻財,辰土,世,null,null,0,兄弟,寅木,null,null,null,1,父母,子水,null,null,null,null
33,巽為風,巽本宮首卦,1,兄弟,卯木,世,null,null,1,子孫,巳火,null,null,null,0,妻財,未土,null,null,null,1,官⿁,酉金,応,null,null,1,父母,亥水,null,null,null,0,妻財,丑土,null,null,null,六冲卦
34,風天小畜,巽宮一世卦,1,兄弟,卯木,null,null,null,1,子孫,巳火,null,null,null,0,妻財,未土,応,null,null,1,妻財,辰土,null,官⿁,酉金,1,兄弟,寅木,null,null,null,1,父母,子水,世,null,null,null
35,風火家人,巽宮二世卦,1,兄弟,卯木,null,null,null,1,子孫,巳火,応,null,null,0,妻財,未土,null,null,null,1,父母,亥水,null,官⿁,酉金,0,妻財,丑土,世,null,null,1,兄弟,卯木,null,null,null,null
36,風雷益,巽宮三世卦,1,兄弟,卯木,応,null,null,1,子孫,巳火,null,null,null,0,妻財,未土,null,null,null,0,妻財,辰土,世,官⿁,酉金,0,兄弟,寅木,null,null,null,1,父母,子水,null,null,null,null
37,天雷无妄,巽宮四世卦,1,妻財,戌土,null,null,null,1,官⿁,申金,null,null,null,1,子孫,午火,世,null,null,0,妻財,辰土,null,null,null,0,兄弟,寅木,null,null,null,1,父母,子水,応,null,null,null
38,火雷噬嗑,巽宮五世卦,1,子孫,巳火,null,null,null,0,妻財,未土,世,null,null,1,官⿁,酉金,null,null,null,0,妻財,辰土,null,null,null,0,兄弟,寅木,応,null,null,1,父母,子水,null,null,null,null
39,山雷頣,巽宮遊魂卦,1,兄弟,寅木,null,null,null,0,父母,子水,null,子孫,巳火,0,妻財,戌土,世,null,null,0,妻財,辰土,null,官⿁,酉金,0,兄弟,寅木,null,null,null,1,父母,子水,応,null,null,null
40,山風蠱,巽宮帰魂卦,1,兄弟,寅木,応,null,null,0,父母,子水,null,子孫,巳火,0,妻財,戌土,null,null,null,1,官⿁,酉金,世,null,null,1,父母,亥水,null,null,null,0,妻財,丑土,null,null,null,null
41,坎為水,坎本宮首卦,0,兄弟,子水,世,null,null,1,官⿁,戌土,null,null,null,0,父母,申金,null,null,null,0,妻財,午火,応,null,null,1,官⿁,辰土,null,null,null,0,子孫,寅木,null,null,null,六冲卦
42,水澤節,坎宮一世卦,0,兄弟,子水,null,null,null,1,官⿁,戌土,null,null,null,0,父母,申金,応,null,null,0,官⿁,丑土,null,null,null,1,子孫,卯木,null,null,null,1,妻財,巳火,世,null,null,六合卦
43,水雷屯,坎宮二世卦,0,兄弟,子水,null,null,null,1,官⿁,戌土,応,null,null,0,父母,申金,null,null,null,0,官⿁,辰土,null,妻財,午火,0,子孫,寅木,世,null,null,1,兄弟,子水,null,null,null,六冲卦
44,水火既済,坎宮三世卦,0,兄弟,子水,応,null,null,1,官⿁,戌土,null,null,null,0,父母,申金,null,null,null,1,兄弟,亥水,世,妻財,午火,0,官⿁,丑土,null,null,null,1,子孫,卯木,null,null,null,null
45,澤火革,坎宮四世卦,0,官⿁,未土,null,null,null,1,父母,酉金,null,null,null,1,兄弟,亥水,世,null,null,1,兄弟,亥水,null,妻財,午火,0,官⿁,丑土,null,null,null,1,子孫,卯木,応,null,null,null
46,雷火豊,坎宮五世卦,0,官⿁,戌土,null,null,null,0,父母,申金,世,null,null,1,妻財,午火,null,null,null,1,兄弟,亥水,null,null,null,0,官⿁,丑土,応,null,null,1,子孫,卯木,null,null,null,null
47,地火明夷,坎宮遊魂卦,0,父母,酉金,null,null,null,0,兄弟,亥水,null,null,null,0,官⿁,丑土,世,null,null,1,兄弟,亥水,null,妻財,午火,0,官⿁,丑土,null,null,null,1,子孫,卯木,応,null,null,null
48,地水師,坎宮帰魂卦,0,父母,酉金,応,null,null,0,兄弟,亥水,null,null,null,0,官⿁,丑土,null,null,null,0,妻財,午火,世,null,null,1,官⿁,辰土,null,null,null,0,子孫,寅木,null,null,null,null
49,艮為山,艮本宮首卦,1,官⿁,寅木,世,null,null,0,妻財,子水,null,null,null,0,兄弟,戌土,null,null,null,1,子孫,申金,応,null,null,0,父母,午火,null,null,null,0,兄弟,辰土,null,null,null,六冲卦
50,山火賁,艮宮一世卦,1,官⿁,寅木,null,null,null,0,妻財,子水,null,null,null,0,兄弟,戌土,応,null,null,1,妻財,亥水,null,子孫,申金,0,兄弟,丑土,null,父母,午火,1,官⿁,卯木,世,null,null,六合卦
51,山天大畜,艮宮二世卦,1,官⿁,寅木,null,null,null,0,妻財,子水,応,null,null,0,兄弟,戌土,null,null,null,1,兄弟,辰土,null,子孫,申金,1,官⿁,寅木,世,父母,午火,1,妻財,子水,null,null,null,null
52,山澤損,艮宮三世卦,1,官⿁,寅木,応,null,null,0,妻財,子水,null,null,null,0,兄弟,戌土,null,null,null,0,兄弟,丑土,世,子孫,申金,1,官⿁,卯木,null,null,null,1,父母,巳火,null,null,null,null
53,火澤睽,艮宮四世卦,1,父母,巳火,null,null,null,0,兄弟,未土,null,妻財,子水,1,子孫,酉金,世,null,null,0,兄弟,丑土,null,null,null,1,官⿁,卯木,null,null,null,1,父母,巳火,応,null,null,null
54,天澤履,艮宮五世卦,1,兄弟,戌土,null,null,null,1,子孫,申金,世,妻財,亥水,1,父母,午火,null,null,null,0,兄弟,丑土,null,null,null,1,官⿁,卯木,応,null,null,1,父母,巳火,null,null,null,null
55,風澤中孚,艮宮遊魂卦,1,官⿁,卯木,null,null,null,1,父母,巳火,null,妻財,子水,0,兄弟,未土,世,null,null,0,兄弟,丑土,null,子孫,申金,1,官⿁,卯木,null,null,null,1,父母,巳火,応,null,null,null
56,風山漸,艮宮帰魂卦,1,官⿁,卯木,応,null,null,1,父母,巳火,null,妻財,子水,0,兄弟,未土,null,null,null,1,子孫,申金,世,null,null,0,父母,午火,null,null,null,0,兄弟,辰土,null,null,null,null
57,坤為地,坤本宮首卦,0,子孫,酉金,世,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,null,null,null,0,官⿁,卯木,応,null,null,0,父母,巳火,null,null,null,0,兄弟,未土,null,null,null,六冲卦
58,地雷復,坤宮一世卦,0,子孫,酉金,null,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,応,null,null,0,兄弟,辰土,null,null,null,0,官⿁,寅木,null,父母,巳火,1,妻財,子水,世,null,null,六合卦
59,地澤臨,坤宮二世卦,0,子孫,酉金,null,null,null,0,妻財,亥水,応,null,null,0,兄弟,丑土,null,null,null,0,兄弟,丑土,null,null,null,1,官⿁,卯木,世,null,null,1,父母,巳火,null,null,null,null
60,地天泰,坤宮三世卦,0,子孫,酉金,応,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,null,null,null,1,兄弟,辰土,世,null,null,1,官⿁,寅木,null,父母,巳火,1,妻財,子水,null,null,null,六合卦
61,雷天大壮,坤宮四世卦,0,兄弟,戌土,null,null,null,0,子孫,申金,null,null,null,1,父母,午火,世,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,null,null,null,1,妻財,子水,応,null,null,六冲卦
62,澤天夬,坤宮五世卦,0,兄弟,未土,null,null,null,1,子孫,酉金,世,null,null,1,妻財,亥水,null,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,応,父母,巳火,1,妻財,子水,null,null,null,null
63,水天需,坤宮遊魂卦,0,妻財,子水,null,null,null,1,兄弟,戌土,null,null,null,0,子孫,申金,世,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,null,父母,巳火,1,妻財,子水,応,null,null,null
64,水地比,坤宮帰魂卦,0,妻財,子水,応,null,null,1,兄弟,戌土,null,null,null,0,子孫,申金,null,null,null,0,官⿁,卯木,世,null,null,0,父母,巳火,null,null,null,0,兄弟,未土,null,null,null,null